origin_warehouse,destination_store,product,on_time,product_quantity,driver_identifier
bb75bf7d-c008-4267-bf92-6089cff5fe56,5e9405de-a078-4b00-99c6-96564568b63c,pants,false,3,c12025e6-6f9c-4728-8c3c-9f840bde6f1a
bb75bf7d-c008-4267-bf92-6089cff5fe56,5e9405de-a078-4b00-99c6-96564568b63c,keyboards,false,2,c12025e6-6f9c-4728-8c3c-9f840bde6f1a
372fd2b1-b2a7-4553-b6d7-426a1bc88e56,e34973c8-9ca9-4a06-b497-7a8b49625fc2,baby food,false,1,85b8d394-a67c-48b6-b1de-55be323ba622
469d957f-28ef-4eac-956a-d2a42b06d3ab,fcadc756-61e9-41bb-871b-d3546c5aa981,paint,false,3,47bdfc40-f3db-4678-b6a7-43f1e1c2fd32
469d957f-28ef-4eac-956a-d2a42b06d3ab,fcadc756-61e9-41bb-871b-d3546c5aa981,water bottles,false,2,47bdfc40-f3db-4678-b6a7-43f1e1c2fd32
cd140190-a53b-4660-a5b4-cc844a6506f0,89ba200c-ca90-443a-b64f-397bce091eae,journals,true,1,5ae3e541-2098-45b6-8d94-35d176185606
cd140190-a53b-4660-a5b4-cc844a6506f0,89ba200c-ca90-443a-b64f-397bce091eae,lotion,true,4,5ae3e541-2098-45b6-8d94-35d176185606
cd140190-a53b-4660-a5b4-cc844a6506f0,89ba200c-ca90-443a-b64f-397bce091eae,keyboards,true,4,5ae3e541-2098-45b6-8d94-35d176185606
c6addf8b-eea6-43b8-9040-b5620b1a0d99,7aebe820-8478-4a29-a606-7c59af677e24,lotion,true,3,1f228b52-7165-4d7f-a731-3f7707aefb2a
c6addf8b-eea6-43b8-9040-b5620b1a0d99,7aebe820-8478-4a29-a606-7c59af677e24,keys,true,3,1f228b52-7165-4d7f-a731-3f7707aefb2a
5d64f731-cb01-4992-a27c-a6e1342f4913,d57d76d8-7dca-4ee4-84c0-1745fb4c8779,lamps,false,3,9136e027-dc50-48b0-b2cf-d01f0c412815
5d64f731-cb01-4992-a27c-a6e1342f4913,d57d76d8-7dca-4ee4-84c0-1745fb4c8779,hydroponic equipment,false,1,9136e027-dc50-48b0-b2cf-d01f0c412815
5d64f731-cb01-4992-a27c-a6e1342f4913,d57d76d8-7dca-4ee4-84c0-1745fb4c8779,balloons,false,2,9136e027-dc50-48b0-b2cf-d01f0c412815
abc09fec-2fa0-48f6-b7c4-913620785520,52479603-9957-4e4b-91eb-337c358d1755,incense,true,3,85f31f19-81ff-4b03-b862-f2ba16605434
abc09fec-2fa0-48f6-b7c4-913620785520,52479603-9957-4e4b-91eb-337c358d1755,apples,true,1,85f31f19-81ff-4b03-b862-f2ba16605434
abc09fec-2fa0-48f6-b7c4-913620785520,52479603-9957-4e4b-91eb-337c358d1755,candy,true,4,85f31f19-81ff-4b03-b862-f2ba16605434
bb53f18b-e3c5-48c1-900e-e8ed623ca467,1add84b7-14f5-4857-903b-578408246946,eggs,true,2,ab78787d-6f8d-48ec-8cef-a7a50ae9c7db
bb53f18b-e3c5-48c1-900e-e8ed623ca467,1add84b7-14f5-4857-903b-578408246946,trampolines,true,2,ab78787d-6f8d-48ec-8cef-a7a50ae9c7db
bb53f18b-e3c5-48c1-900e-e8ed623ca467,1add84b7-14f5-4857-903b-578408246946,textbooks,true,4,ab78787d-6f8d-48ec-8cef-a7a50ae9c7db
ee67c3b0-aa89-4b3b-8bbc-9d70695c132b,fa0ce0bb-b0d8-469d-8d42-e1153fc48272,capes,false,1,4159e22a-d107-42e6-ba56-f9b65ad8df08
ee67c3b0-aa89-4b3b-8bbc-9d70695c132b,fa0ce0bb-b0d8-469d-8d42-e1153fc48272,pants,false,2,4159e22a-d107-42e6-ba56-f9b65ad8df08
ee67c3b0-aa89-4b3b-8bbc-9d70695c132b,fa0ce0bb-b0d8-469d-8d42-e1153fc48272,water bottles,false,4,4159e22a-d107-42e6-ba56-f9b65ad8df08
f04f3daf-8ede-4787-a3ad-6ff06274229d,130208de-fef4-46cd-8b9b-1ea5b939895b,earplugs,false,2,d194a942-695a-4e09-9701-490ea8d627f6
48c4ca28-4db8-420e-af57-241818a81194,dc042557-cbee-4743-9b72-2c0a34a99cc2,baby food,false,2,469c402e-d073-49a4-9598-c44a32724643
48c4ca28-4db8-420e-af57-241818a81194,dc042557-cbee-4743-9b72-2c0a34a99cc2,socks,false,1,469c402e-d073-49a4-9598-c44a32724643
48c4ca28-4db8-420e-af57-241818a81194,dc042557-cbee-4743-9b72-2c0a34a99cc2,lamps,false,2,469c402e-d073-49a4-9598-c44a32724643
57001f3e-d6be-4031-9295-a6b208c0ad46,49714439-c858-4e61-b7c6-f4d4c848c46b,carnivorous plants,false,1,0966463d-fbac-41cb-b780-0211b98c9beb
c42221be-4851-42df-9184-1b4f96962bb7,134fb73e-fc99-41e4-92c4-6ecbada5574f,textbooks,false,4,474067dd-c2fd-4bf0-979e-4ecc67cdeafd
c42221be-4851-42df-9184-1b4f96962bb7,134fb73e-fc99-41e4-92c4-6ecbada5574f,yarn,false,3,474067dd-c2fd-4bf0-979e-4ecc67cdeafd
c42221be-4851-42df-9184-1b4f96962bb7,134fb73e-fc99-41e4-92c4-6ecbada5574f,carnivorous plants,false,1,474067dd-c2fd-4bf0-979e-4ecc67cdeafd
20efa3c2-c498-4908-8af4-f81c76781912,0167b0c3-60fd-4fbd-b378-fba0ceac39ff,toys,false,3,45a23a59-09cb-4906-8293-6014b72de249
20efa3c2-c498-4908-8af4-f81c76781912,0167b0c3-60fd-4fbd-b378-fba0ceac39ff,eggs,false,3,45a23a59-09cb-4906-8293-6014b72de249
f156fb67-e7e7-448c-b9c3-0b5f0425d134,2ba952cd-d5bf-4bb4-96fe-02fd4e166d12,snakes,true,2,a781da7a-1f22-4d1d-8975-37165a13e6ca
f156fb67-e7e7-448c-b9c3-0b5f0425d134,2ba952cd-d5bf-4bb4-96fe-02fd4e166d12,apples,true,3,a781da7a-1f22-4d1d-8975-37165a13e6ca
c44107fb-70a4-4ff2-bedb-48b9ecfd3d6d,479bfe4c-7137-44dd-bb42-a4ab7900aa24,yarn,true,2,f851975d-1482-459b-b114-5f73e87a9627
026ffd7c-cff2-4daa-ae76-6768d3283861,d33a7b5d-15e5-4ba6-93ef-136bbcbf4946,pants,true,1,6e905a32-46a8-4555-8434-a6b16580e873
026ffd7c-cff2-4daa-ae76-6768d3283861,d33a7b5d-15e5-4ba6-93ef-136bbcbf4946,pencils,true,4,6e905a32-46a8-4555-8434-a6b16580e873
950db98c-fb0f-4b78-bbee-bf9ae97faeca,5b9e2a68-7967-46e0-8e35-bc993a1f07e6,pants,true,5,b18c8c6e-0aa2-42ce-96d4-0e95f3f04ae5
950db98c-fb0f-4b78-bbee-bf9ae97faeca,5b9e2a68-7967-46e0-8e35-bc993a1f07e6,baby food,true,3,b18c8c6e-0aa2-42ce-96d4-0e95f3f04ae5
b377e5d5-563f-475d-8c6d-b9f85ad861fd,fa60bc82-665e-4fe0-8f1f-b8a7675c2e2a,socks,true,4,eabecfd5-5ec5-4639-b32d-e204b34af195
b377e5d5-563f-475d-8c6d-b9f85ad861fd,fa60bc82-665e-4fe0-8f1f-b8a7675c2e2a,alternators,true,1,eabecfd5-5ec5-4639-b32d-e204b34af195
b377e5d5-563f-475d-8c6d-b9f85ad861fd,fa60bc82-665e-4fe0-8f1f-b8a7675c2e2a,keyboards,true,4,eabecfd5-5ec5-4639-b32d-e204b34af195
5158fc84-71e0-47a1-84e9-b3e446a391ae,76f02f30-28cd-4f15-88be-9c64860d1fce,animal masks,false,1,aa4c2cd3-0f2c-4982-abd3-be7b06facc87
